iter	Passed	Remaining
0	64	32301
1	124	31093
2	186	30925
3	245	30491
4	312	30954
5	385	31730
6	445	31377
7	503	30968
8	564	30793
9	626	30700
10	688	30600
11	748	30433
12	810	30350
13	877	30448
14	939	30391
15	1004	30387
16	1067	30317
17	1122	30058
18	1180	29893
19	1237	29704
20	1296	29582
21	1359	29534
22	1416	29371
23	1472	29198
24	1531	29096
25	1595	29085
26	1653	28963
27	1713	28876
28	1775	28831
29	1836	28766
30	1904	28817
31	1963	28723
32	2025	28669
33	2081	28524
34	2140	28436
35	2200	28360
36	2262	28317
37	2334	28378
38	2393	28296
39	2455	28243
40	2516	28172
41	2589	28235
42	2661	28289
43	2740	28404
44	2821	28524
45	2905	28678
46	2988	28807
47	3056	28785
48	3124	28755
49	3193	28743
50	3272	28814
51	3353	28892
52	3425	28889
53	3490	28831
54	3559	28802
55	3626	28755
56	3705	28795
57	3775	28771
58	3833	28655
59	3908	28658
60	3981	28655
61	4035	28508
62	4098	28427
63	4162	28353
64	4223	28265
65	4284	28175
66	4342	28063
67	4420	28080
68	4570	28552
69	4693	28831
70	4781	28890
71	4856	28866
72	4936	28874
73	5010	28844
74	5083	28806
75	5159	28782
76	5238	28777
77	5318	28772
78	5399	28774
79	5482	28784
80	5564	28783
81	5641	28756
82	5718	28730
83	5799	28719
84	5880	28710
85	5963	28705
86	6045	28699
87	6117	28641
88	6180	28540
89	6242	28438
90	6300	28315
91	6357	28195
92	6416	28082
93	6478	27979
94	6533	27854
95	6589	27731
96	6645	27607
97	6702	27495
98	6763	27394
99	6821	27285
100	6881	27185
101	6938	27071
102	6993	26953
103	7051	26850
104	7128	26817
105	7208	26793
106	7270	26704
107	7327	26595
108	7395	26527
109	7456	26437
110	7511	26325
111	7584	26273
112	7668	26262
113	7728	26166
114	7788	26075
115	7847	25976
116	7905	25878
117	7957	25759
118	8014	25658
119	8071	25560
120	8126	25453
121	8181	25347
122	8237	25248
123	8291	25140
124	8346	25038
125	8404	24947
126	8457	24840
127	8518	24757
128	8601	24736
129	8664	24659
130	8723	24571
131	8783	24487
132	8847	24413
133	8904	24322
134	8959	24222
135	9014	24126
136	9071	24036
137	9137	23968
138	9209	23917
139	9284	23873
140	9364	23842
141	9423	23757
142	9482	23674
143	9568	23655
144	9651	23628
145	9730	23592
146	9791	23513
147	9854	23437
148	9918	23364
149	9971	23265
150	10027	23176
151	10085	23089
152	10144	23008
153	10202	22922
154	10262	22842
155	10320	22758
156	10381	22681
157	10438	22594
158	10498	22515
159	10552	22424
160	10611	22344
161	10669	22261
162	10730	22184
163	10786	22098
164	10845	22019
165	10901	21935
166	10956	21847
167	11012	21761
168	11086	21713
169	11156	21656
170	11216	21580
171	11275	21501
172	11334	21423
173	11391	21342
174	11447	21259
175	11508	21185
176	11571	21117
177	11637	21051
178	11695	20973
179	11755	20899
180	11813	20819
181	11875	20750
182	11933	20671
183	11989	20590
184	12043	20506
185	12103	20432
186	12159	20352
187	12214	20271
188	12272	20193
189	12329	20117
